year,real_gdp_growth,gdp_deflator_growth,nominal_gdp_growth,implicit_interest_rate,real_rate_proxy,user_cost_proxy,primary_balance,interest_expenditure,gross_debt_ratio,gov_balance_ratio,gov_debt_ratio,hh_transfers_ratio_seed,nfc_gos_ratio_seed,s12_net_lending_ratio_seed,sample_type
2025,3.2320775985717773,3.5948948860168457,6.943162276891779,4.774586200714111,1.1796913146972656,1.1796913146972656,-4.325899124145508,2.459505558013916,59.51612854003906,-6.785404682159424,59.51612854003906,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2026,3.462263276001032,3.057744026184082,6.625874450677793,4.838731288909912,1.78098726272583,1.78098726272583,-3.591127634048462,2.70086932182312,64.90138244628906,-6.291996955871582,64.90138244628906,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2027,2.959608724681817,3.1216347217559814,6.173631620015585,4.605113506317139,1.4834787845611572,1.4834787845611572,-3.824702739715576,2.8149948120117188,69.67215728759766,-6.639697551727295,69.67215728759766,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2028,2.2686072567033255,3.083930492401123,5.422500020046739,4.881524562835693,1.7975940704345703,1.7975940704345703,-3.879892110824585,3.2261266708374023,73.19452667236328,-7.106018781661987,73.19452667236328,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2029,2.121091936071484,3.0462260246276855,5.2319312152620645,5.095933437347412,2.0497074127197266,2.0497074127197266,-3.947735786437988,3.5444986820220947,77.04766845703125,-7.492234468460083,77.04766845703125,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2030,2.102294530245885,3.008521556854248,5.174064071231155,5.2900071144104,2.2814855575561523,2.2814855575561523,-3.9902679920196538,3.8753159046173096,81.12287902832031,-7.865583896636963,81.12287902832031,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2031,2.2817123292514063,2.9708170890808105,5.320314918133273,5.467367649078369,2.4965505599975586,2.4965505599975586,-3.907489061355591,4.211235046386719,85.14363861083984,-8.11872410774231,85.14363861083984,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2032,2.416444449601607,2.933112621307373,5.420434108047134,5.630283832550049,2.697171211242676,2.697171211242676,-4.024710655212402,4.547342777252197,89.33782958984375,-8.5720534324646,89.33782958984375,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2033,2.5306549862961436,2.8954081535339355,5.499335930641114,5.78333854675293,2.887930393218994,2.887930393218994,-3.841931581497192,4.897385597229004,93.42025756835938,-8.739317178726196,93.42025756835938,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2034,2.61175957956048,2.857703685760498,5.544099615089282,5.926269054412842,3.0685653686523438,3.0685653686523438,-3.859153032302856,5.245519161224365,97.61768341064452,-9.104672193527222,97.61768341064452,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2035,2.627531458981891,2.819999933242798,5.521627777613913,6.062568664550781,3.2425687313079834,3.2425687313079834,-3.876374483108521,5.608460903167725,101.9944839477539,-9.484835386276245,101.9944839477539,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
2036,2.345022638156613,2.803999900817871,5.214776971422563,6.149406909942627,3.345407009124756,3.345407009124756,-3.893596172332764,5.961193084716797,106.79410552978516,-9.85478925704956,106.79410552978516,26.911719554628732,22.53843738162739,1.1119060311622582,future_baseline
