spec_id,features,boot_ok_count,boot_all_finite_ok,K_Y_h8_p05,K_Y_h8_p50,K_Y_h8_p95,K_G_h8_p05,K_G_h8_p50,K_G_h8_p95
F01,trade,19,True,1.187437541,2.120578924,2.908714951,0.561046927,0.697777769,0.830038072
F02,debt,19,True,0.835459928,1.339674865,2.211324187,0.617989215,0.742810073,0.857326056
F03,liq,19,True,1.568341596,2.255069130,2.918474766,0.604165046,0.726214683,0.881965517
F04,log_gdp_pc,19,True,0.227373486,0.902720597,1.378537208,0.582402798,0.678834730,0.766736509
F05,trade+debt,19,True,0.653162357,1.328716998,1.843111824,0.598400233,0.656235086,0.718655069
F06,trade+liq,19,True,1.183699447,1.873922768,3.298618100,0.458279438,0.680852469,0.872076844
F07,trade+log_gdp_pc,19,True,0.082117067,0.577878226,1.456930665,0.531516582,0.617002117,0.674694574
F08,debt+liq,19,True,0.725737373,1.634241170,2.504611256,0.582063488,0.660849820,0.786351777
F09,debt+log_gdp_pc,19,True,0.050410953,0.583637639,1.656403593,0.614976260,0.761713155,0.847801820
F10,liq+log_gdp_pc,19,True,-0.571944449,0.126031621,1.374381980,0.467761487,0.637813948,0.807534149
F11,trade+debt+liq,19,True,0.539182962,1.029193388,1.987504173,0.584399633,0.665865782,0.779076795
F12,trade+debt+log_gdp_pc,19,True,-0.236283457,0.621754431,1.448189175,0.531530684,0.636562002,0.757717967
F13,trade+liq+log_gdp_pc,19,True,-0.380638198,0.502313535,1.914528769,0.567821024,0.673964020,0.877300441
F14,debt+liq+log_gdp_pc,19,True,-0.068929776,0.719383978,2.362248768,0.572706601,0.666674112,0.886234349
F15,trade+debt+liq+log_gdp_pc,19,True,-0.913236019,0.262186386,1.398923257,0.489179370,0.681392441,0.837158519
