spec_id,features,block,drop_start,drop_end,status,K_Y_h8,K_G_h8
F01,trade,drop_2004_2010,2004,2010,OK,3.565102185,0.771364942
F01,trade,drop_2011_2017,2011,2017,OK,1.725614239,0.829472049
F01,trade,drop_2018_2024,2018,2024,OK,1.296911971,0.625952468
F02,debt,drop_2004_2010,2004,2010,OK,0.602126462,0.603180326
F02,debt,drop_2011_2017,2011,2017,OK,2.201724311,0.913199848
F02,debt,drop_2018_2024,2018,2024,OK,1.280869482,0.682304530
F03,liq,drop_2004_2010,2004,2010,OK,2.129758949,0.685214668
F03,liq,drop_2011_2017,2011,2017,OK,2.208116663,0.878896302
F03,liq,drop_2018_2024,2018,2024,OK,1.958651856,0.700929112
F04,log_gdp_pc,drop_2004_2010,2004,2010,OK,0.625704047,0.739573468
F04,log_gdp_pc,drop_2011_2017,2011,2017,OK,1.343452155,0.797621659
F04,log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.147559300,0.538237989
F05,trade+debt,drop_2004_2010,2004,2010,OK,0.900031159,0.450657537
F05,trade+debt,drop_2011_2017,2011,2017,OK,1.488277979,0.847607821
F05,trade+debt,drop_2018_2024,2018,2024,OK,0.762919200,0.606823090
F06,trade+liq,drop_2004_2010,2004,2010,OK,3.265572305,0.712059939
F06,trade+liq,drop_2011_2017,2011,2017,OK,1.513384407,0.813242733
F06,trade+liq,drop_2018_2024,2018,2024,OK,1.501877126,0.646279409
F07,trade+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.012260778,0.714825437
F07,trade+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.669766426,0.736276065
F07,trade+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.172262614,0.474360021
F08,debt+liq,drop_2004_2010,2004,2010,OK,1.441192413,0.572005705
F08,debt+liq,drop_2011_2017,2011,2017,OK,1.875872938,0.883553242
F08,debt+liq,drop_2018_2024,2018,2024,OK,1.275049543,0.660376940
F09,debt+log_gdp_pc,drop_2004_2010,2004,2010,OK,0.433863730,0.565484852
F09,debt+log_gdp_pc,drop_2011_2017,2011,2017,OK,1.312401171,0.863568431
F09,debt+log_gdp_pc,drop_2018_2024,2018,2024,OK,0.194446358,0.604152782
F10,liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.103207543,0.633412161
F10,liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.762621974,0.814398981
F10,liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.507573922,0.497927060
F11,trade+debt+liq,drop_2004_2010,2004,2010,OK,1.576740220,0.468785414
F11,trade+debt+liq,drop_2011_2017,2011,2017,OK,1.169135173,0.816522657
F11,trade+debt+liq,drop_2018_2024,2018,2024,OK,0.860554061,0.609334560
F12,trade+debt+log_gdp_pc,drop_2004_2010,2004,2010,OK,0.536049106,0.380086265
F12,trade+debt+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.370546750,0.774575087
F12,trade+debt+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.103246982,0.519391376
F13,trade+liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.383793951,0.633091594
F13,trade+liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.128833507,0.760345497
F13,trade+liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.149029347,0.481074299
F14,debt+liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.339247837,0.515592692
F14,debt+liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.699004873,0.862792063
F14,debt+liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.100538143,0.554425971
F15,trade+debt+liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.365428939,0.388312942
F15,trade+debt+liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,-0.089945113,0.785009849
F15,trade+debt+liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.065106228,0.515433931
