variant,lane,measure,income_key,liq_key,profile_year,sample_end_year,pass_count,passing_specs,K_Y_h8,K_G_h8,dsa_margin_2036_cut_pp,direct_dy_margin_2036_cut_pp,dsa_margin_2036_expansion_pp,direct_dy_margin_2036_expansion_pp,best_spec_id,best_features,best_p_wald_y_h8,best_gate_status,best_gate_reason,best_time_ok_count,best_h8_design_nobs,best_h8_condition_number,best_max_abs_feature_corr_h8,best_mahalanobis_support_p,best_max_abs_poland_z
cash_transferable_only,control,control,paper,cash_transferable,2024,2024,1,F01,2.819856367,0.800727656,12.404226297,6.098542388,-11.505658177,-6.098542388,F01,trade,0.037116224,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.531590050,0.000000000,0.690529282,0.397730054
figaro2023_avg_paper_cash_transferable,figaro2023,avg,paper,cash_transferable,2023,2023,0,,,,,,,,F07,trade+log_gdp_pc,0.000005907,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,162,40.836355618,0.190902685,0.944768060,0.176785932
figaro2023_avg_realppp_cash_transferable,figaro2023,avg,realppp,cash_transferable,2023,2023,0,,,,,,,,F07,trade+log_gdp_pc,0.000061634,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,162,40.779854124,0.068520820,0.970184762,0.144707826
figaro2023_cons_paper_cash_transferable,figaro2023,cons,paper,cash_transferable,2023,2023,0,,,,,,,,F06,trade+liq,0.000000000,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,162,41.960203467,0.017729467,0.879612119,0.554812039
figaro2023_cons_realppp_cash_transferable,figaro2023,cons,realppp,cash_transferable,2023,2023,0,,,,,,,,F06,trade+liq,0.000000000,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,162,41.960203467,0.017729467,0.879612119,0.554812039
figaro2023_gfcf_paper_cash_transferable,figaro2023,gfcf,paper,cash_transferable,2023,2023,0,,,,,,,,F15,trade+debt+liq+log_gdp_pc,0.000013110,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,162,44.081082659,0.511953194,0.924429670,0.554812039
figaro2023_gfcf_realppp_cash_transferable,figaro2023,gfcf,realppp,cash_transferable,2023,2023,0,,,,,,,,F15,trade+debt+liq+log_gdp_pc,0.011877713,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,162,43.619482895,0.448887909,0.937935315,0.554812039
tiva2022_avg_paper_cash_transferable,tiva2022,avg,paper,cash_transferable,2022,2022,1,F01,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109,F01,trade,0.023184423,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.921512701,0.000000000,0.845620827,0.194511867
tiva2022_avg_realppp_cash_transferable,tiva2022,avg,realppp,cash_transferable,2022,2022,1,F01,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109,F01,trade,0.023184423,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.921512701,0.000000000,0.845620827,0.194511867
tiva2022_cons_paper_cash_transferable,tiva2022,cons,paper,cash_transferable,2022,2022,1,F06,1.577041584,0.742734433,5.135395343,0.022904600,-4.880235958,-0.022904600,F06,trade+liq,0.006239783,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,69.779505407,0.113519092,0.702046766,0.696005882
tiva2022_cons_realppp_cash_transferable,tiva2022,cons,realppp,cash_transferable,2022,2022,1,F06,1.577041584,0.742734433,5.135395343,0.022904600,-4.880235958,-0.022904600,F06,trade+liq,0.006239783,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,69.779505407,0.113519092,0.702046766,0.696005882
tiva2022_gfcf_paper_cash_transferable,tiva2022,gfcf,paper,cash_transferable,2022,2022,1,F01,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956,F01,trade,0.003771210,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.880814083,0.000000000,0.871863902,0.161130026
tiva2022_gfcf_realppp_cash_transferable,tiva2022,gfcf,realppp,cash_transferable,2022,2022,1,F01,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956,F01,trade,0.003771210,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.880814083,0.000000000,0.871863902,0.161130026
tiva_cf2024_avg_paper_cash_transferable,tiva_cf2024,avg,paper,cash_transferable,2024,2024,1,F01,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104,F01,trade,0.023184423,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.921293449,0.000000000,0.886751114,0.142288206
tiva_cf2024_avg_realppp_cash_transferable,tiva_cf2024,avg,realppp,cash_transferable,2024,2024,1,F01,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104,F01,trade,0.023184423,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.921293449,0.000000000,0.886751114,0.142288206
tiva_cf2024_cons_paper_cash_transferable,tiva_cf2024,cons,paper,cash_transferable,2024,2024,1,F06,1.554152547,0.743219636,4.772534012,0.039840116,-4.527661115,-0.039840116,F06,trade+liq,0.006239783,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,69.781047818,0.113519092,0.745797949,0.620421703
tiva_cf2024_cons_realppp_cash_transferable,tiva_cf2024,cons,realppp,cash_transferable,2024,2024,1,F06,1.554152547,0.743219636,4.772534012,0.039840116,-4.527661115,-0.039840116,F06,trade+liq,0.006239783,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,69.781047818,0.113519092,0.745797949,0.620421703
tiva_cf2024_gfcf_paper_cash_transferable,tiva_cf2024,gfcf,paper,cash_transferable,2024,2024,1,F01,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960,F01,trade,0.003771210,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.880080997,0.000000000,0.843758735,0.196907302
tiva_cf2024_gfcf_realppp_cash_transferable,tiva_cf2024,gfcf,realppp,cash_transferable,2024,2024,1,F01,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960,F01,trade,0.003771210,PASS_ROBUSTNESS_GATE,all_checks_pass,3,351,70.880080997,0.000000000,0.843758735,0.196907302
